"","index","Movie.Name","Year","Season","Run.Time","Budget","Box.Office","Genre","MPAA.Rating","Audience.Score","Sequel","Adjusted_Budget","Adjusted_Box.Office","Adjusted_Genre"
"25",24,"Mank",2020,"Fall",131,2.5e+07,1.22572e+11,"Biography","R",83,"Not Sequel",30303323.0293663,148573556414.219,"Biography"
"26",25,"The Master of Disguise",2002,"Summer",80,1.6e+07,43400000,"Comedy","PG",1,"Not Sequel",27899944.4135631,75678599.2217899,"Comedy"
"27",26,"The Hangover Part III",2013,"Spring",100,1.03e+08,3.62e+08,"Comedy","R",20,"Sequel",138674248.927039,487379399.141631,"Comedy"
"28",27,"Gone",2012,"Winter",95,15083333.3333333,18100000,"Thriller","PG-13",15,"Not Sequel",20608195.4123113,24729834.4947735,"Thriller"
"29",28,"Godzilla x Kong: The New Empire",2024,"Winter",115,2.1e+08,572500000,"Action","PG-13",54,"Sequel",2.1e+08,572500000,"Action"
"30",29,"In the Name of the King",2008,"Winter",127,6e+07,13100000,"Fantasy","PG-13",4,"Not Sequel",87422201.5791918,19087180.6781235,"Fantasy"
"31",30,"War",2007,"Summer",103,2.5e+07,40700000,"Action","R",30,"Not Sequel",37831644.9589966,61589917.9932465,"Action"
"32",31,"Confessions of a Teenage Drama Queen",2004,"Winter",85,1.5e+07,33300000,"Comedy","PG",14,"Not Sequel",24910005.2938062,55300211.7522499,"Comedy"
"33",32,"Palm Springs",2020,"Summer",90,5e+06,1500000,"Comedy","R",94,"Not Sequel",6060664.60587326,1818199.38176198,"Comedy"
"34",33,"Table 19
",2017,"Winter",87,5e+06,5e+06,"Comedy","PG-13",31,"Not Sequel",6399428.80456956,6399428.80456956,"Comedy"
"35",34,"The Whole Ten Yards",2004,"Spring",99,4e+07,26200000,"Comedy","PG-13",4,"Sequel",66426680.7834833,43509475.9131816,"Comedy"
"36",35,"Friday the 13th",2009,"Winter",97,1.9e+07,92700000,"Horror","R",25,"Sequel",27786946.3869464,135571048.951049,"Horror"
"37",36,"Sorority Boys",2002,"Winter",93,1.2e+07,12500000,"Comedy","R",46,"Not Sequel",20924958.3101723,21796831.5730962,"Comedy"
"38",37,"The Brown Bunny",2004,"Summer",119,1e+07,6.30427e+11,"Drama","NC-17",33,"Not Sequel",16606670.1958708,1046929327157.23,"Drama"
"39",38,"Trick 'r Treat",2009,"Fall",82,1.2e+07,2.7909e+10,"Horror","R",85,"Not Sequel",17549650.3496503,40816099300.6993,"Horror"
"40",39,"The Water Diviner
",2015,"Spring",111,22500000,38200000,"Drama","R",63,"Not Sequel",29781645.5696203,50562616.0337553,"Drama"
"41",40,"Maps to the Stars
",2015,"Winter",112,1.3e+07,4500000,"Drama","R",62,"Not Sequel",17207172.9957806,5956329.11392405,"Drama"
"42",41,"Transformers: The Last Knight",2017,"Spring",149,3.47e+08,605400000,"Action","PG-13",15,"Sequel",444120359.037128,774842839.657283,"Action"
"43",42,"Tolkien",2019,"Spring",112,2e+07,9e+06,"Biography","PG-13",52,"Not Sequel",24536566.2886195,11041454.8298788,"Biography"
"44",43,"Daddy Day Camp",2007,"Summer",89,6e+06,18200000,"Comedy","PG",1,"Sequel",9079594.79015919,27541437.5301495,"Comedy"
"45",44,"New York Minute",2004,"Spring",91,3e+07,21300000,"Comedy","PG",11,"Not Sequel",49820010.5876125,35372207.5172049,"Comedy"
"46",45,"Your Lucky Day",2023,"Fall",89,15193333333.3333,1.8232e+10,"Thriller","R",64,"Not Sequel",15642102614.5936,18770523137.5123,"Thriller"
"47",46,"Ella Enchanted",2004,"Spring",92,3.1e+07,27400000,"Fantasy","PG",50,"Not Sequel",51480677.6071996,45502276.3366861,"Fantasy"
"48",47,"The Book of Henry",2017,"Spring",105,1e+07,4600000,"Drama","PG-13",21,"Not Sequel",12798857.6091391,5887474.500204,"Drama"
"49",48,"Tangled",2010,"Fall",100,2.6e+08,592500000,"Animation","PG",89,"Not Sequel",373966070.609812,852211141.678129,"Animation"
"50",49,"Immaculate",2024,"Winter",89,9e+06,3.5e+07,"Horror","R",70,"Not Sequel",9e+06,3.5e+07,"Horror"
"51",50,"Kingdom of the Planet of the Apes",2024,"Spring",145,2e+08,397300000,"Sci-Fi","PG-13",80,"Sequel",2e+08,397300000,"Sci-Fi"
"52",51,"Meet the Parents",2000,"Fall",108,5.5e+07,330400000,"Comedy","PG-13",84,"Not Sequel",100194541.231127,601895934.95935,"Comedy"
"53",52,"Dear White People",2014,"Fall",108,1300000,5400000,"Comedy","R",92,"Not Sequel",1722898.18335446,7156653.99239544,"Comedy"
"54",53,"Daredevil",2003,"Winter",103,7.8e+07,179200000,"Action","PG-13",43,"Not Sequel",132981521.73913,305516521.73913,"Action"
"55",54,"Holes",2003,"Spring",117,2e+07,71400000,"Adventure","PG",78,"Not Sequel",34097826.0869565,121729239.130435,"Other"
"56",55,"Shang-Chi and the Legend of the Ten Rings
",2021,"Winter",132,2.5e+08,432200000,"Action","PG-13",92,"Not Sequel",289391143.911439,500299409.594096,"Action"
"57",56,"Street Fighter: The Legend of Chun-Li",2009,"Winter",96,5e+07,12800000,"Action","PG-13",6,"Sequel",73123543.1235431,18719627.039627,"Action"
"58",57,"The Seagull",2018,"Spring",98,1250000,1500000,"Drama","PG-13",66,"Not Sequel",1561628.83313421,1873954.59976105,"Drama"
"59",58,"Anchorman 2: The Legend Continues",2013,"Fall",118,5e+07,173600000,"Comedy","PG-13",74,"Sequel",67317596.5665236,233726695.27897,"Comedy"
"60",59,"Gone Baby Gone",2007,"Fall",114,1.9e+07,34600000,"Mystery","R",94,"Not Sequel",28752050.1688374,52358996.6232513,"Other"
"61",60,"Storks",2016,"Summer",87,7e+07,183400000,"Animation","PG",66,"Not Sequel",91495833.3333333,239719083.333333,"Animation"
"62",61,"Together Together",2021,"Summer",90,1200000,1400000,"Comedy","R",89,"Not Sequel",1389077.49077491,1620590.40590406,"Comedy"
"63",62,"Mary Poppins Returns",2018,"Fall",131,1.3e+08,349500000,"Fantasy","PG",80,"Sequel",162409398.645958,436631421.744325,"Fantasy"
"64",63,"Birthday Girl",2002,"Winter",93,1.3e+07,16200000,"Comedy","R",52,"Not Sequel",22668704.83602,28248693.7187326,"Comedy"
"65",64,"MVP: Most Valuable Primate",2000,"Fall",93,1e+06,1200000,"Comedy","PG",13,"Not Sequel",1821718.93147503,2186062.71777003,"Comedy"
"66",65,"Confidence",2003,"Spring",97,1.5e+07,2.3e+07,"Crime","R",70,"Not Sequel",25573369.5652174,39212500,"Crime"
"67",66,"Good Luck Chuck",2007,"Summer",99,2.5e+07,59800000,"Comedy","PG-13",5,"Not Sequel",37831644.9589966,90493294.7419199,"Comedy"
"68",67,"Brother Bear",2003,"Fall",85,4.6e+07,250400000,"Animation","G",37,"Not Sequel",78425000,426904782.608696,"Animation"
"69",68,"You're Next",2013,"Summer",94,1e+06,26900000,"Horror","R",76,"Not Sequel",1346351.93133047,36216866.9527897,"Horror"
"70",69,"Crossing Over",2009,"Winter",113,2916666.66666667,3500000,"Drama","PG-13",16,"Not Sequel",4265540.01554002,5118648.01864802,"Drama"
"71",70,"No One Lives",2013,"Spring",86,5e+06,1.048704e+12,"Horror","R",48,"Not Sequel",6731759.65665236,1411924655793.99,"Horror"
"72",71,"Mary Queen of Scots",2018,"Fall",125,2.5e+07,4.7e+07,"Biography","R",63,"Not Sequel",31232576.6626842,58717244.1258463,"Biography"
"73",72,"College",2008,"Summer",94,7e+06,6200000,"Comedy","R",5,"Not Sequel",10199256.8509057,9033627.49651649,"Comedy"
"74",73,"Mechanic: Resurrection",2016,"Summer",98,4e+07,125800000,"Action","R",32,"Sequel",52283333.3333333,164431083.333333,"Action"
"75",74,"The Bank Job",2008,"Winter",112,2e+07,66100000,"Crime","R",79,"Not Sequel",29140733.8597306,96310125.4064096,"Crime"
"76",75,"Sound of Freedom",2023,"Summer",131,14500000,2.51e+08,"Action","PG-13",57,"Not Sequel",14928290.1214309,258413849.688218,"Action"
"77",76,"The Darkest Minds",2018,"Summer",105,3.4e+07,41100000,"Sci-Fi","PG-13",17,"Not Sequel",42476304.2612505,51346356.0334528,"Sci-Fi"
"78",77,"The Souvenir",2019,"Spring",119,1666666.66666667,2e+06,"Drama","R",88,"Not Sequel",2044713.85738496,2453656.62886195,"Drama"
"79",78,"Loving Jezebel",2000,"Fall",87,60158333333.3333,7.219e+10,"Comedy","R",40,"Not Sequel",109591574719.319,131509889663.182,"Comedy"
"80",79,"The Blackening",2023,"Spring",97,5e+06,18600000,"Horror","PG-13",80,"Not Sequel",5147686.24876928,19149392.8454217,"Horror"
"81",80,"Tiger Eyes",2013,"Spring",92,22633333333.3333,2.716e+10,"Drama","PG-13",77,"Not Sequel",30472432045.7797,36566918454.9356,"Drama"
"82",81,"The Empty Man",2020,"Fall",137,1.6e+07,4800000,"Horror","R",75,"Not Sequel",19394126.7387944,5818238.02163833,"Horror"
"83",82,"Supercross",2005,"Summer",80,3e+07,3.344431e+12,"Action","PG-13",5,"Not Sequel",48187403.9938556,5371981590885.82,"Action"
"84",83,"To Rome with Love",2012,"Spring",112,1.7e+07,73200000,"Comedy","R",44,"Not Sequel",23226916.3763066,100012369.337979,"Comedy"
"85",84,"Deepwater Horizon",2016,"Summer",107,1.56e+08,121800000,"Thriller","PG-13",83,"Not Sequel",203905000,159202750,"Thriller"
"86",85,"The Twilight Saga: Eclipse",2010,"Spring",123,6.8e+07,7.39e+08,"Fantasy","PG-13",47,"Sequel",97806510.7748739,1062926639.15635,"Fantasy"
"87",86,"Tears of the Sun",2003,"Winter",121,100500000,86500000,"War","R",33,"Not Sequel",171341576.086957,147473097.826087,"Other"
"88",87,"Winchester",2018,"Winter",99,3500000,4.4e+07,"Horror","PG-13",14,"Not Sequel",4372560.73277579,54969334.9263242,"Horror"
"89",88,"Ramona and Beezus",2010,"Summer",103,1.5e+07,27300000,"Comedy","G",70,"Not Sequel",21574965.6121045,39266437.4140303,"Comedy"
"90",89,"Lowriders",2017,"Spring",99,5e+06,6300000,"Drama","PG-13",58,"Not Sequel",6399428.80456956,8063280.29375765,"Drama"
"91",90,"Paws of Fury: The Legend of Hank",2022,"Summer",98,4.5e+07,42500000,"Animation","PG",53,"Not Sequel",48228561.6672361,45549197.1301674,"Animation"
"92",91,"Five Nights at Freddy's",2023,"Fall",109,2e+07,291600000,"Horror","PG-13",32,"Not Sequel",20590744.9950771,300213062.028224,"Horror"
"93",92,"The Other Man",2009,"Summer",84,1750000,2100000,"Drama","R",18,"Not Sequel",2559324.00932401,3071188.81118881,"Drama"
"94",93,"Sex and the City",2008,"Spring",145,6.5e+07,418800000,"Romance","R",49,"Not Sequel",94707385.0441245,610206967.022759,"Romance"
"95",94,"Beautiful Disaster",2023,"Spring",95,5750000,6900000,"Romance","PG-13",25,"Not Sequel",5919839.18608467,7103807.02330161,"Romance"
"96",95,"About Last Night",2014,"Winter",100,1.3e+07,50500000,"Comedy","R",13,"Sequel",17228981.8335446,66927967.8918462,"Comedy"
"97",96,"The Disappointments Room",2016,"Summer",85,1.5e+07,5700000,"Thriller","R",0,"Not Sequel",19606250,7450375,"Thriller"
"98",97,"Cry Macho",2021,"Fall",104,3.3e+07,16500000,"Drama","PG-13",59,"Not Sequel",38199630.99631,19099815.498155,"Drama"
"99",98,"Breaking",2022,"Summer",103,2333333.33333333,2800000,"Drama","R",80,"Not Sequel",2500740.23459743,3000888.28151691,"Drama"
"100",99,"The Suicide Squad",2021,"Fall",132,1.85e+08,168700000,"Action","R",90,"Sequel",214149446.494465,195281143.911439,"Action"
"101",100,"The Front Runner",2018,"Fall",114,2.5e+07,3200000,"Drama","R",60,"Not Sequel",31232576.6626842,3997769.81282358,"Drama"
"102",101,"Case 39",2010,"Fall",109,2.6e+07,28200000,"Horror","R",30,"Not Sequel",37396607.0609812,40560935.3507565,"Horror"
"103",102,"The Cave",2005,"Summer",97,2.5e+07,33300000,"Horror","PG-13",13,"Not Sequel",40156169.9948797,53488018.4331797,"Horror"
"104",103,"Shazam!",2019,"Spring",132,1.4e+08,367800000,"Action","PG-13",90,"Not Sequel",171755964.020336,451227454.047712,"Action"
"105",104,"Keeping the Faith",2000,"Spring",128,2.9e+07,59900000,"Comedy","PG-13",69,"Not Sequel",52829849.0127758,109120963.995354,"Comedy"
"106",105,"The Pale Blue Eye",2022,"Fall",130,7.2e+07,86400000,"Mystery","R",64,"Not Sequel",77165698.6675777,92598838.4010933,"Other"
"107",106,"John Carter",2012,"Winter",132,306600000,284100000,"Action","PG-13",52,"Not Sequel",418904268.292683,388162761.324042,"Action"
"108",107,"Ice Age: Dawn of the Dinosaurs",2009,"Summer",94,9e+07,886700000,"Animation","PG",45,"Sequel",131622377.622378,1296772913.75291,"Animation"
"109",108,"Dune: Part Two",2024,"Winter",166,1.9e+08,715400000,"Sci-Fi","PG-13",92,"Sequel",1.9e+08,715400000,"Sci-Fi"
"110",109,"The Dukes of Hazzard",2005,"Summer",104,5.3e+07,109800000,"Action","PG-13",14,"Sequel",85131080.3891449,176365898.617512,"Action"
"111",110,"The Snowman",2017,"Fall",119,3.5e+07,43100000,"Thriller","R",29,"Not Sequel",44796001.6319869,55163076.2953896,"Thriller"
"112",111,"Witless Protection",2008,"Winter",99,7500000,4200000,"Comedy","PG-13",0,"Not Sequel",10927775.197399,6119554.11054343,"Comedy"
"113",112,"Fantastic Beasts: The Secrets of Dumbledore",2022,"Spring",142,2e+08,407200000,"Fantasy","PG-13",46,"Sequel",214349162.965494,436414895.797745,"Fantasy"
"114",113,"The Longshots",2008,"Summer",95,2.3e+07,11800000,"Drama","PG",40,"Not Sequel",33511843.9386902,17193032.9772411,"Drama"
"115",114,"The Incredible Hulk",2008,"Spring",112,212500000,265600000,"Action","PG-13",67,"Not Sequel",309620297.259638,386988945.657222,"Action"
"116",115,"Children of the Corn",2023,"Winter",93,479315833333.333,5.75179e+11,"Horror","R",11,"Sequel",493473504813.478,592168205776.173,"Horror"
"117",116,"Risen",2016,"Winter",107,2e+07,46400000,"Drama","PG-13",52,"Not Sequel",26141666.6666667,60648666.6666667,"Drama"
"118",117,"Trauma Center",2019,"Fall",87,77473333333.3333,9.2968e+10,"Action","R",0,"Not Sequel",95046478946.6823,114055774736.019,"Action"
"119",118,"Robot & Frank",2012,"Summer",89,2500000,4900000,"Sci-Fi","PG-13",86,"Not Sequel",3415722.99651568,6694817.07317073,"Sci-Fi"
"120",119,"Fantastic Mr. Fox",2009,"Fall",87,4e+07,58100000,"Animation","PG",93,"Not Sequel",58498834.4988345,84969557.1095571,"Animation"
"121",120,"The Wedding Planner",2001,"Winter",104,45500000,94700000,"Comedy","PG-13",17,"Not Sequel",80594861.660079,167743591.191417,"Comedy"
"122",121,"Mrs Henderson Presents",2005,"Fall",103,2e+07,27800000,"Comedy","R",75,"Not Sequel",32124935.9959037,44653661.0343062,"Comedy"
"123",122,"Joshua",2007,"Summer",106,599973333333.333,7.19968e+11,"Horror","R",61,"Not Sequel",907919125261.296,1089502950313.56,"Horror"
"124",123,"North Country",2005,"Fall",126,3.5e+07,25200000,"Drama","R",69,"Not Sequel",56218637.9928315,40477419.3548387,"Drama"
"125",124,"The Current War",2019,"Fall",107,3e+07,12900000,"Biography","PG-13",32,"Not Sequel",36804849.4329292,15826085.2561596,"Biography"
"126",125,"I, Robot",2004,"Summer",115,1.65e+08,353100000,"Sci-Fi","PG-13",56,"Not Sequel",274010058.231869,586381524.616199,"Sci-Fi"
"127",126,"Max Payne",2008,"Fall",100,3.5e+07,85800000,"Action","PG-13",16,"Not Sequel",50996284.2545286,125013748.258244,"Action"
"128",127,"The Pacifier",2005,"Winter",95,5.6e+07,198600000,"Comedy","PG",21,"Not Sequel",89949820.7885305,319000614.439324,"Comedy"
"129",128,"Never Back Down",2008,"Winter",115,2e+07,41600000,"Action","PG-13",22,"Not Sequel",29140733.8597306,60612726.4282397,"Action"
"130",129,"Despicable Me 4",2024,"Summer",94,9.7e+07,9.72e+08,"Animation","PG",56,"Sequel",9.7e+07,9.72e+08,"Animation"
"131",130,"Moonrise Kingdom",2012,"Spring",94,1.6e+07,68800000,"Adventure","PG-13",93,"Not Sequel",21860627.1777003,94000696.8641115,"Other"
"132",131,"Proof of Life",2000,"Fall",135,6.5e+07,62800000,"Thriller","PG-13",39,"Not Sequel",118411730.545877,114403948.896632,"Thriller"
"133",132,"The Last Song",2010,"Winter",107,2e+07,8.9e+07,"Drama","PG",21,"Not Sequel",28766620.8161394,128011462.63182,"Drama"
"134",133,"Judy",2019,"Summer",118,1e+07,4.6e+07,"Biography","PG-13",80,"Not Sequel",12268283.1443097,56434102.4638248,"Biography"
"135",134,"The Eyes of Tammy Faye",2021,"Fall",126,3166666.66666667,3800000,"Biography","PG-13",68,"Not Sequel",3665621.15621156,4398745.38745387,"Biography"
"136",135,"Enchanted",2007,"Fall",107,8.5e+07,340500000,"Fantasy","PG",93,"Not Sequel",128627592.860589,515267004.341534,"Fantasy"
"137",136,"The Canyons",2013,"Summer",99,2.5e+11,2.6567e+11,"Drama","R",25,"Not Sequel",336587982832.618,357685317596.567,"Drama"
"138",137,"The Interpreter",2005,"Spring",128,8e+07,162900000,"Thriller","PG-13",56,"Not Sequel",128499743.983615,261657603.686636,"Thriller"
"139",138,"The Conjuring",2013,"Summer",112,2e+07,319500000,"Horror","R",86,"Not Sequel",26927038.6266094,430159442.060086,"Horror"
"140",139,"Nacho Libre",2006,"Spring",92,3.5e+07,9.9e+07,"Comedy","PG",40,"Not Sequel",54461805.5555556,154049107.142857,"Comedy"
"141",140,"Four Good Days",2021,"Summer",100,720075833333.333,8.64091e+11,"Drama","R",53,"Not Sequel",833534276445.264,1000241131734.32,"Drama"
"142",141,"Bruce Almighty",2003,"Spring",101,8.1e+07,484600000,"Comedy","PG-13",48,"Not Sequel",138096195.652174,826190326.086957,"Comedy"
"143",142,"Knights of the Zodiac",2023,"Spring",112,6e+07,7e+06,"Fantasy","PG-13",21,"Not Sequel",61772234.9852314,7206760.74827699,"Fantasy"
"144",143,"Dr. Seuss' The Lorax",2012,"Winter",86,7e+07,351400000,"Animation","PG",54,"Not Sequel",95640243.902439,480114024.390244,"Animation"
"145",144,"The Illusionist",2006,"Summer",110,16500000,87800000,"Mystery","PG-13",74,"Not Sequel",25674851.1904762,136621329.365079,"Other"
"146",145,"Drag Me to Hell",2009,"Spring",99,3e+07,90800000,"Horror","PG-13",92,"Not Sequel",43874125.8741259,132792354.312354,"Horror"
"147",146,"The Tigger Movie",2000,"Winter",77,3e+07,96200000,"Animation","G",76,"Not Sequel",54651567.9442509,175249361.207898,"Animation"
"148",147,"Nicholas Nickleby",2002,"Fall",132,1e+07,3700000,"Drama","PG",78,"Not Sequel",17437465.2584769,6451862.14563646,"Drama"
"149",148,"Bulletproof Monk",2003,"Spring",104,5.2e+07,37700000,"Action","PG-13",23,"Not Sequel",88654347.826087,64274402.173913,"Action"
"150",149,"Hobo with a Shotgun",2011,"Spring",86,3e+06,8.34953e+11,"Action","R",65,"Not Sequel",4184526.45620276,1164627639395.29,"Action"
"151",150,"Open Water",2004,"Summer",79,5e+11,55500000,"Thriller","R",71,"Not Sequel",830333509793.542,92167019.5870831,"Thriller"
"152",151,"American Fiction",2023,"Fall",117,1e+07,2.3e+07,"Comedy","R",94,"Not Sequel",10295372.4975386,23679356.7443387,"Comedy"
"153",152,"Silent House",2012,"Winter",87,2e+06,13100000,"Horror","R",13,"Not Sequel",2732578.39721254,17898388.5017422,"Horror"
"154",153,"Marmaduke",2022,"Spring",88,1250000,1500000,"Animation","PG",0,"Sequel",1339682.26853434,1607618.7222412,"Animation"
"155",154,"Surveillance",2009,"Spring",97,916666.666666667,1100000,"Mystery","R",65,"Not Sequel",1340598.29059829,1608717.94871795,"Other"
"156",155,"The Children Act",2018,"Summer",105,14750000,17700000,"Drama","PG-13",84,"Not Sequel",18427220.2309837,22112664.2771804,"Drama"
"157",156,"Someone Like You",2001,"Winter",97,2.3e+07,38600000,"Comedy","PG-13",23,"Not Sequel",40740259.7402597,68372783.7380011,"Comedy"
"158",157,"Fat Albert",2004,"Fall",93,4.5e+07,48600000,"Comedy","PG",23,"Not Sequel",74730015.8814187,80708417.1519322,"Comedy"
"159",158,"Celeste and Jesse Forever",2012,"Summer",92,8.4e+11,3600000,"Comedy","R",81,"Not Sequel",1147682926829.27,4918641.11498258,"Comedy"
"160",159,"Hellboy II: The Golden Army",2008,"Summer",120,1.25e+08,168300000,"Action","PG-13",86,"Sequel",182129586.623316,245219275.429633,"Action"
"161",160,"Maid in Manhattan",2002,"Fall",105,5.5e+07,154900000,"Comedy","PG-13",30,"Not Sequel",95906058.9216231,270106336.853808,"Comedy"
"162",161,"Price of Glory",2000,"Winter",118,1.8e+07,3500000,"Drama","PG-13",22,"Not Sequel",32790940.7665505,6376016.2601626,"Drama"
"163",162,"Woman Walks Ahead",2018,"Spring",102,5e+06,9.70556e+11,"Biography","R",52,"Not Sequel",6246515.33253684,1212518587017.12,"Biography"
"164",163,"The Beach Bum",2019,"Winter",95,5e+06,4600000,"Comedy","R",56,"Not Sequel",6134141.57215487,5643410.24638248,"Comedy"
"165",164,"Elysium",2013,"Summer",109,1.15e+08,286100000,"Sci-Fi","R",65,"Not Sequel",154830472.103004,385191287.553648,"Sci-Fi"
"166",165,"The Seeker",2007,"Fall",99,4.5e+07,31800000,"Fantasy","PG",15,"Not Sequel",68096960.9261939,48121852.3878437,"Fantasy"
"167",166,"Coming 2 America",2021,"Spring",110,6e+07,7.2e+07,"Comedy","PG-13",49,"Sequel",69453874.5387454,83344649.4464945,"Comedy"
"168",167,"Brüno",2009,"Summer",82,4.2e+07,138800000,"Comedy","R",69,"Not Sequel",61423776.2237762,202990955.710956,"Comedy"
"169",168,"The Muppets",2011,"Fall",103,4.5e+07,171800000,"Musical","PG",95,"Not Sequel",62767896.8430414,239633881.725211,"Other"
"170",169,"Shorts: The Adventures of the Wishing Rock",2009,"Summer",89,2e+07,2.9e+07,"Adventure","PG",44,"Not Sequel",29249417.2494172,42411655.011655,"Other"
"171",170,"Rugrats Go Wild",2003,"Spring",80,2.5e+07,55400000,"Animation","PG",40,"Sequel",42622282.6086956,94450978.2608696,"Animation"
"172",171,"Edge of Darkness",2010,"Winter",117,8e+07,81100000,"Action","R",55,"Not Sequel",115066483.264558,116648647.409445,"Action"
"173",172,"The Amazing Spider-Man",2012,"Summer",136,3.15e+08,758700000,"Action","PG-13",72,"Not Sequel",430381097.560976,1036603614.98258,"Action"
"174",173,"Wonder Woman 1984",2020,"Fall",151,2e+08,169600000,"Action","PG-13",58,"Sequel",242426584.23493,205577743.431221,"Action"
"175",174,"Life
",2017,"Winter",104,5.8e+07,100500000,"Sci-Fi","R",48,"Not Sequel",74233374.1330069,128628518.971848,"Sci-Fi"
"176",175,"Dr. Dolittle 2",2001,"Spring",87,7e+07,176100000,"Comedy","PG",42,"Sequel",123992094.86166,311928684.359119,"Comedy"
"177",176,"Elektra",2005,"Winter",97,75500000,5.7e+07,"Action","PG-13",11,"Not Sequel",121271633.384537,91556067.5883256,"Action"
"178",177,"Gone Girl",2014,"Fall",149,6.1e+07,370900000,"Thriller","R",87,"Not Sequel",80843683.9881707,491556104.773975,"Thriller"
"179",178,"Panic",2000,"Fall",88,649280833333.333,7.79137e+11,"Drama","R",84,"Not Sequel",1182807185927.22,1419368623112.66,"Drama"
"180",179,"Larry the Cable Guy: Health Inspector",2006,"Winter",89,1.7e+07,15600000,"Comedy","PG-13",4,"Not Sequel",26452876.984127,24274404.7619048,"Comedy"
"181",180,"2012 ",2009,"Fall",158,2e+08,791200000,"Action","PG-13",39,"Not Sequel",292494172.494173,1157106946.38695,"Action"
"182",181,"Breaking In",2018,"Spring",88,1.2e+07,51400000,"Thriller","PG-13",64,"Not Sequel",14991636.7980884,64214177.6184787,"Thriller"
"183",182,"The Darjeeling Limited",2007,"Summer",91,17500000,35100000,"Adventure","R",70,"Not Sequel",26482151.4712976,53115629.5224313,"Other"
